Activity Date,Activity Type,Distance,Max Heart Rate,Relative Effort,Elevation Gain,Average Heart Rate,Moving Time in Minutes,Average Pace in Minutes
"Jun 3, 2026, 12:08:49 AM",Run,8.38,192.0,101.0,42.5,163.0,51.6,6.16
"May 31, 2026, 12:05:32 AM",Run,10.03,190.0,123.0,63.3,165.0,54.1,5.39
"May 28, 2026, 12:47:56 AM",Run,21.55,181.0,155.0,55.7,152.0,127.8,5.93
"May 26, 2026, 12:12:41 AM",Run,10.28,173.0,87.0,84.7,152.0,63.0,6.12
"May 24, 2026, 1:32:19 PM",Run,6.08,160.0,52.0,50.1,149.0,41.2,6.78
"May 19, 2026, 12:27:52 AM",Run,8.1,158.0,49.0,67.5,145.0,55.7,6.88
"May 17, 2026, 12:52:21 AM",Run,16.2,177.0,70.0,0.0,152.0,98.4,6.07
"May 15, 2026, 12:26:54 AM",Run,9.01,186.0,105.0,70.6,162.0,50.5,5.61
"May 13, 2026, 12:30:03 AM",Run,9.01,190.0,111.0,60.3,161.0,57.0,6.32
"May 11, 2026, 12:28:42 AM",Run,8.28,179.0,51.0,75.7,144.0,59.9,7.23
"May 8, 2026, 1:02:30 PM",Run,10.68,189.0,130.0,98.6,159.0,71.0,6.65
"May 6, 2026, 2:42:15 PM",Run,8.05,177.0,70.0,73.5,152.0,51.1,6.35
"May 3, 2026, 12:49:38 PM",Run,16.06,179.0,161.0,195.1,156.0,102.4,6.38
"May 1, 2026, 1:01:46 PM",Run,6.01,185.0,65.0,48.9,157.0,37.3,6.21
"Apr 29, 2026, 1:13:24 PM",Run,10.15,160.0,82.0,89.7,148.0,68.9,6.79
"Apr 26, 2026, 12:39:57 AM",Run,18.27,177.0,161.0,124.9,154.0,110.4,6.04
"Apr 23, 2026, 12:59:32 PM",Run,10.39,190.0,169.0,89.9,172.0,60.1,5.79
"Apr 20, 2026, 12:56:22 PM",Run,10.15,163.0,101.0,91.3,151.0,70.9,6.98
"Apr 16, 2026, 12:37:42 PM",Run,7.07,175.0,85.0,63.6,161.0,44.2,6.24
"Apr 12, 2026, 1:18:48 PM",Run,3.03,154.0,18.0,25.2,145.0,19.4,6.41
"Apr 10, 2026, 12:46:01 PM",Run,10.15,191.0,180.0,108.0,174.0,57.3,5.64
"Apr 8, 2026, 12:45:21 PM",Run,8.11,177.0,88.0,65.7,160.0,46.9,5.78
"Apr 5, 2026, 4:28:38 AM",Run,21.42,177.0,70.0,89.4,152.0,127.1,5.93
"Apr 2, 2026, 2:38:52 PM",Run,8.07,177.0,70.0,70.0,152.0,46.4,5.75
"Mar 31, 2026, 12:36:23 PM",Run,10.11,179.0,128.0,92.5,165.0,58.5,5.78
"Mar 30, 2026, 11:11:48 AM",Run,3.92,189.0,69.0,24.7,178.0,20.6,5.25
